2025,,,,,2026,,
147,"´5,199.00",S173,,,,,
148,"´5,190.00",S703-S873,,,,,
149,"´2,535.00",S703,,,,,
150,"´2,700.00",S703,,,,,
151,"´21,700.00",S1050,,,,,
152,"´5,980.00",S93,,,,,
153,"´2,520.00",S01,,,,,
154,"´2,000.00",S173,,,,,
155,´800.00,S213,,,,,
156,"´20,000.00",S216,,,,,
157,"´20,100.00",S213,,,,,
158,"´20,000.00",S216,,,,,
159,"´5,000.00",S01,,,,,
160,"´3,000.00",S738,,,,,
161,"´1,400.00",S548,,,,,
162,"´8,880.00",S873,,,,,
163,"´3,520.00",S287,,,,,
164,"´1,040.00",S548,,,,,
165,"´2,680.00",S548,,,,,
166,"´4,630.00","S01
S873",,,,,
167,"´8,200.00",S548,,,,,
168,"´1,800.00",S703,,,,,
169,"´12,000.00","S612
S873",,,,,
170,"´6,670.00",S161,,,,,
171,"´4,800.00","S213
S738",,,,,
172,"´4,900.00",S216,,,,,
173,"´1,850.00",S400,,,,,
174,"´3,000.00",S873,,,,,
175,"´3,990.00",S427,,,,,
176,"´11,200.00",S216,,,,,
177,"´51,000.00",S873,,,,,
178,"´3,300.00",S873,,,,,
179,"´3,530.00",S1043,,,,,
180,"´7,600.00",,,,,,
181,"´4,800.00",,,,,,
182,"´55,000.00",,,,,,
183,"´1,500.00",,,,,,
184,´525.00,,,,,,
185,"´1,652.76",,,,,,
186,"´16,110.00",,,,,,
187,"´50,000.00",,,,,,
188,"´4,800.00",,,,,,
